accident_index,speed_limit,urban_or_rural_area,local_authority_name,accident_count,traffic_flow,accident_rate,population_density,mean_income_of_tax_payers,total_road_length,Inland_Area,Road_Network_Density,Signal_Count,Driving_Distance
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,40,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,2,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,2,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,50,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,2,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,50,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,2,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,50,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,50,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,50,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,50,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,40,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,50,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,20,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
2.02E+12,30,1,Barking and Dagenham,442,332152,0.001330716,6286.4,31800,212.9,36.108,5.896200288,454,634
